"","Year","Location","Genotype","Amylose","Crude.Fiber"
"407","2020","Umudike","NR17C2aF16P013",13.197,0.67
"408","2020","Umudike","NR17C2aF1P009",13.379,2.66
"409","2020","Umudike","NR17C2aF21P004",10.208,1.33
"410","2020","Umudike","NR17C2aF28P002",15.644,2.33
"411","2020","Umudike","NR17C2aF46P005",10.359,1.66
"412","2020","Umudike","NR17C2aF54P010",11.325,1.67
"413","2020","Umudike","NR17C2aF60P015",9.453,2.67
"414","2020","Umudike","NR17C2aF61P003",8.365,2
"415","2020","Umudike","NR17C2aF62P027",4.621,1.33
"416","2020","Umudike","NR17C2aF65P027",12.05,4
"417","2020","Umudike","NR17C2aF6P044",10.359,2
"418","2020","Umudike","NR17C2aF70P007",7.822,2
"419","2020","Umudike","NR17C2aF7P007",7.339,2
"420","2020","Umudike","NR17C2aF82P008",10.238,1.67
"421","2020","Umudike","NR17C2aF87P011",9.271,2.67
"422","2020","Umudike","NR17C2aF89P002",10.57,2
"423","2020","Umudike","NR17C2aF89P010",9.634,2
"424","2020","Umudike","NR17C2aF89P028",10.208,2.33
"425","2020","Umudike","NR17C2aF89P084",11.023,3.33
"426","2020","Umudike","NR17C2aF97P002",9.664,1.67
"427","2020","Umudike","TMEB7",17.305,2.33
"428","2021","Umudike","NR17C2aF103P001",21.412,1.333
"429","2021","Umudike","NR17C2aF10P001",23.194,1.667
"430","2021","Umudike","NR17C2aF10P002",16.731,1.167
"431","2021","Umudike","NR17C2aF10P006",23.828,1.067
"432","2021","Umudike","NR17C2aF10P011",26.999,0.367
"433","2021","Umudike","NR17C2aF10P016",23.677,1.3335
"434","2021","Umudike","NR17C2aF10P021",24.764,1.767
"435","2021","Umudike","NR17C2aF10P025",8.758,1.367
"436","2021","Umudike","NR17C2aF114P002",22.046,1.633
"437","2021","Umudike","NR17C2aF114P004",25.428,1.667
"438","2021","Umudike","NR17C2aF118P001",32.374,1.9
"439","2021","Umudike","NR17C2aF121P005",21.321,2
"440","2021","Umudike","NR17C2aF12P001",13.107,2.567
"441","2021","Umudike","NR17C2aF13P001",12.654,1.433
"442","2021","Umudike","NR17C2aF14P016",28.901,1.367
"443","2021","Umudike","NR17C2aF15P003",21.019,2.3
"444","2021","Umudike","NR17C2aF15P011",36.391,1.667
"445","2021","Umudike","NR17C2aF15P016",22.559,1.667
"446","2021","Umudike","NR17C2aF15P022",23.918,2.3835
"447","2021","Umudike","NR17C2aF15P041",16.942,2.833
"448","2021","Umudike","NR17C2aF16P003",14.889,2.933
"449","2021","Umudike","NR17C2aF16P010",20.596,1.6
"450","2021","Umudike","NR17C2aF18P008",17.456,2.4
"451","2021","Umudike","NR17C2aF18P018",40.45,1.767
"452","2021","Umudike","NR17C2aF19P002",39.471,3.333
"453","2021","Umudike","NR17C2aF1P003",NA,2.567
"454","2021","Umudike","NR17C2aF1P006",24.704,1.933
"455","2021","Umudike","NR17C2aF21P004",35.455,1.333
"456","2021","Umudike","NR17C2aF27P001",9.996,1.133
"457","2021","Umudike","NR17C2aF29P001",8.788,2.1
"458","2021","Umudike","NR17C2aF39P002",22.378,1
"459","2021","Umudike","NR17C2aF46P012",NA,2.333
"460","2021","Umudike","NR17C2aF49P006",27.24,1.333
"461","2021","Umudike","NR17C2aF54P001",26.395,1.533
"462","2021","Umudike","NR17C2aF54P002",16.489,1.667
"463","2021","Umudike","NR17C2aF54P005",15.462,1.4
"464","2021","Umudike","NR17C2aF54P010",33.25,1.467
"465","2021","Umudike","NR17C2aF54P012",16.791,1.367
"466","2021","Umudike","NR17C2aF5P017",22.65,1.433
"467","2021","Umudike","NR17C2aF5P026",23.707,NA
"468","2021","Umudike","NR17C2aF60P003",36.663,2.4
